city, label
Belén de Los Andaquies, 5
Cartagena del Chairá, 5
Curillo, 5
El Doncello, 5
El Paujil, 1
La Montañita, 5
Milán, 3
Morelia, 3
Puerto Rico, 5
San José del Fragua, 5
San Vicente del Caguán, 1
Solano, 3
Solita, 0
Valparaíso, 0
Popayán, 1
Almaguer, 3
Argelia, 4
Balboa, 5
Bolívar, 4
Buenos Aires, 3
Cajibío, 3
Caldono, 3
Caloto(1)(3), 3
Corinto, 1
El Tambo, 4
Florencia, 3
Guapi, 1
Inzá, 0
Jambaló, 3
La Sierra, 3
La Vega, 0
López, 5
Mercaderes, 0
Miranda, 1
Morales, 3
Padilla, 0
Paez, 0
Patía, 5
Piamonte, 2
Piendamó, 4
Puerto Tejada, 1
Puracé, 3
Rosas, 3
San Sebastián, 3
Santander de Quilichao, 5
Santa Rosa, 3
Silvia, 3
Sotara, 2
Suárez, 4
Sucre, 3
Timbío, 5
Timbiquí, 0
Toribio, 3
Totoró, 3
Villa Rica, 5
Valledupar, 1
Aguachica, 1
Agustín Codazzi, 4
Astrea, 5
Becerril, 5
Bosconia, 5
Chimichagua, 5
Chiriguaná, 5
Curumaní, 5
El Copey, 5
El Paso, 3
Gamarra, 5
González, 3
La Gloria, 4
La Jagua de Ibirico, 5
Manaure, 5
Pailitas, 5
Pelaya, 5
Pueblo Bello, 0
Río de Oro, 5
La Paz, 5
San Alberto, 1
San Diego, 4
San Martín, 5
Tamalameque, 0
Montería, 1
Ayapel, 5
Buenavista, 5
Canalete, 4
Cereté, 5
Chimá, 0
Chinú, 5
Ciénaga de Oro, 1
Cotorra, 0
La Apartada, 1
Lorica, 1
Los Córdobas, 4
Momil, 5
Montelíbano(1)(3), 1
Moñitos, 4
Planeta Rica, 1
Pueblo Nuevo, 5
Puerto Escondido, 3
Puerto Libertador, 1
Purísima, 4
Sahagún, 5
San Andrés Sotavento (1) (3), 1
San Antero, 5
San Bernardo del Viento, 5
San Carlos, 4
San Pelayo, 0
Tierralta, 5
Valencia, 0
Agua de Dios, 0
Albán, 3
Anapoima, 3
Anolaima, 0
Arbeláez, 0
Beltrán, 2
Bituima, 2
